place,osm_type,Latitude,Longitude,
hamlet,nodes,20.8549088,-75.7628322,12/16/2016
hamlet,nodes,20.8258438,-75.7181812,12/16/2016
hamlet,nodes,20.8208609,-75.771052,12/16/2016
hamlet,nodes,20.8428031,-75.6718196,12/16/2016
hamlet,nodes,20.8434791,-75.6682791,12/16/2016
hamlet,nodes,20.8666562,-75.7969732,12/16/2016
hamlet,nodes,20.858737,-75.7896089,12/16/2016
hamlet,nodes,20.815966,-75.7927895,12/16/2016
hamlet,nodes,20.828456,-75.787248,12/16/2016
hamlet,nodes,20.8354885,-75.8708391,12/16/2016
hamlet,nodes,20.8337957,-75.8606601,12/16/2016
hamlet,nodes,20.8484955,-75.8619479,12/16/2016
hamlet,nodes,20.8525657,-75.849824,12/16/2016
hamlet,nodes,20.8687387,-75.8845695,12/16/2016
hamlet,nodes,20.8242147,-75.9874454,12/16/2016
hamlet,nodes,20.8098365,-75.8945044,12/16/2016
hamlet,nodes,20.7929549,-75.9197334,12/16/2016
hamlet,nodes,20.8088368,-75.9068041,12/16/2016
hamlet,nodes,20.7747481,-75.8819193,12/16/2016
hamlet,nodes,20.7793165,-75.8631312,12/16/2016
hamlet,nodes,20.0593193,-76.2436261,12/16/2016
hamlet,nodes,20.0880922,-76.2394268,12/16/2016
hamlet,nodes,20.1010169,-76.2498731,12/16/2016
hamlet,nodes,20.1021069,-76.2462252,12/16/2016
hamlet,nodes,20.1699036,-76.1766333,12/16/2016
hamlet,nodes,20.1783038,-76.1608804,12/16/2016
hamlet,nodes,20.152634,-76.1664026,12/16/2016
hamlet,nodes,20.1349572,-76.1837582,12/16/2016
hamlet,nodes,20.1898225,-76.1513347,12/16/2016
hamlet,nodes,20.0852149,-76.1854086,12/16/2016
hamlet,nodes,20.730584,-75.8952284,12/16/2016
hamlet,nodes,20.9854353,-78.1168404,12/16/2016
hamlet,nodes,20.9278739,-78.0256507,12/16/2016
hamlet,nodes,20.558727,-76.1430565,12/16/2016
hamlet,nodes,20.6671922,-76.1753746,12/16/2016
hamlet,nodes,20.6612844,-76.1502887,12/16/2016
hamlet,nodes,20.7475817,-76.1673176,12/16/2016
hamlet,nodes,20.710646,-76.1854166,12/16/2016
hamlet,nodes,20.7435863,-76.2229087,12/16/2016
hamlet,nodes,20.7541443,-76.1997277,12/16/2016
hamlet,nodes,20.6275293,-76.1625754,12/16/2016
hamlet,nodes,20.6712499,-76.2054315,12/16/2016
hamlet,nodes,20.6963048,-76.1870716,12/16/2016
hamlet,nodes,20.7262113,-76.1465164,12/16/2016
hamlet,nodes,20.7328821,-76.2109655,12/16/2016
hamlet,nodes,20.6077642,-76.5740568,12/16/2016
hamlet,nodes,20.5301909,-76.5657719,12/16/2016
hamlet,nodes,20.5224175,-76.5591341,12/16/2016
hamlet,nodes,20.8209933,-76.488752,12/16/2016
hamlet,nodes,20.6494648,-76.5450933,12/16/2016
hamlet,nodes,20.6639544,-76.6167944,12/16/2016
hamlet,nodes,20.6502101,-76.5571706,12/16/2016
hamlet,nodes,20.6377748,-76.5001326,12/16/2016
hamlet,nodes,20.5659076,-76.5438044,12/16/2016
hamlet,nodes,20.563881,-76.490183,12/16/2016
hamlet,nodes,20.8219191,-76.2810786,12/16/2016
