name,place,osm_type,Latitude,Longitude,
Santa Rita,hamlet,nodes,20.19950530000,-74.24619560000,12/16/2016
Las Casimbas,hamlet,nodes,20.21432950000,-74.20673270000,12/16/2016
Pueblo Viejo,hamlet,nodes,20.22962930000,-74.22462530000,12/16/2016
Puriales Abajo,hamlet,nodes,20.23499260000,-74.24900310000,12/16/2016
Los Ranchos,hamlet,nodes,20.24323300000,-74.28081620000,12/16/2016
,hamlet,nodes,20.22184980000,-74.27420390000,12/16/2016
Los Cedros Abajo,hamlet,nodes,20.21725160000,-74.25559410000,12/16/2016
Cedro Arriba,hamlet,nodes,20.21675950000,-74.27294620000,12/16/2016
Vertientes,hamlet,nodes,20.20779390000,-74.28452320000,12/16/2016
Mandinga,hamlet,nodes,20.28019220000,-74.31697370000,12/16/2016
Guag??i,hamlet,nodes,20.26485710000,-74.32292750000,12/16/2016
La Higuereta (El Bongo),hamlet,nodes,21.06516730000,-75.77382720000,12/16/2016
Bajo del Cerro,hamlet,nodes,21.07228270000,-75.84181210000,12/16/2016
Los Haticos de Retrete,hamlet,nodes,21.01900620000,-75.82630390000,12/16/2016
La Uvilla,hamlet,nodes,21.03878490000,-75.84167010000,12/16/2016
El Salado de Sam?í,hamlet,nodes,21.05930030000,-75.76733720000,12/16/2016
Los Ricardo de Sam?í,hamlet,nodes,21.05917850000,-75.75259650000,12/16/2016
La Canoa Adentro,hamlet,nodes,21.03972070000,-75.77685420000,12/16/2016
Mulas Dieciocho,hamlet,nodes,21.00531650000,-75.64226490000,12/16/2016
La Juba,hamlet,nodes,21.04635330000,-75.73915310000,12/16/2016
Embarcadero de R?¡o Seco,hamlet,nodes,21.06957690000,-75.67622250000,12/16/2016
La Mula,hamlet,nodes,21.05929580000,-75.99038980000,12/16/2016
Cochico,hamlet,nodes,21.04473640000,-75.97191550000,12/16/2016
Taita Roque,hamlet,nodes,20.99919390000,-75.94651290000,12/16/2016
Arroyo del Medio,hamlet,nodes,21.05897600000,-75.94583700000,12/16/2016
Antilla Seis,hamlet,nodes,20.85490880000,-75.76283220000,12/16/2016
Barrancones,hamlet,nodes,20.82584380000,-75.71818120000,12/16/2016
Dumois,hamlet,nodes,20.82086090000,-75.77105200000,12/16/2016
Canalito,hamlet,nodes,20.84280310000,-75.67181960000,12/16/2016
Hermenegildo,hamlet,nodes,20.84347910000,-75.66827910000,12/16/2016
Pil??n Tres,hamlet,nodes,20.86665620000,-75.79697320000,12/16/2016
Antillita,hamlet,nodes,20.85873700000,-75.78960890000,12/16/2016
Crucero Dumois,hamlet,nodes,20.81596600000,-75.79278950000,12/16/2016
,hamlet,nodes,20.82845600000,-75.78724800000,12/16/2016
,hamlet,nodes,20.83548850000,-75.87083910000,12/16/2016
,hamlet,nodes,20.83379570000,-75.86066010000,12/16/2016
,hamlet,nodes,20.84849550000,-75.86194790000,12/16/2016
,hamlet,nodes,20.85256570000,-75.84982400000,12/16/2016
,hamlet,nodes,20.86873870000,-75.88456950000,12/16/2016
La Trocha,hamlet,nodes,20.82421470000,-75.98744540000,12/16/2016
,hamlet,nodes,20.80983650000,-75.89450440000,12/16/2016
Tacaj?? Viejo,hamlet,nodes,20.79295490000,-75.91973340000,12/16/2016
Herrera 9,hamlet,nodes,20.80883680000,-75.90680410000,12/16/2016
Feria Cinco,hamlet,nodes,20.77474810000,-75.88191930000,12/16/2016
Monte Feria,hamlet,nodes,20.77931650000,-75.86313120000,12/16/2016
,hamlet,nodes,20.05931930000,-76.24362610000,12/16/2016
,hamlet,nodes,20.08809220000,-76.23942680000,12/16/2016
,hamlet,nodes,20.10101690000,-76.24987310000,12/16/2016
,hamlet,nodes,20.10210690000,-76.24622520000,12/16/2016
Limoncito,hamlet,nodes,20.16990360000,-76.17663330000,12/16/2016
,hamlet,nodes,20.17830380000,-76.16088040000,12/16/2016
,hamlet,nodes,20.15263400000,-76.16640260000,12/16/2016
Las Minas de Cambute,hamlet,nodes,20.13495720000,-76.18375820000,12/16/2016
,hamlet,nodes,20.18982250000,-76.15133470000,12/16/2016
,hamlet,nodes,20.08521490000,-76.18540860000,12/16/2016
Mej?¡as,hamlet,nodes,20.73058400000,-75.89522840000,12/16/2016
,hamlet,nodes,20.98543530000,-78.11684040000,12/16/2016
,hamlet,nodes,20.92787390000,-78.02565070000,12/16/2016
Las Delicias,hamlet,nodes,20.55872700000,-76.14305650000,12/16/2016
,hamlet,nodes,20.66719220000,-76.17537460000,12/16/2016
La Mar?¡a,hamlet,nodes,20.66128440000,-76.15028870000,12/16/2016
Los Jobos,hamlet,nodes,20.74758170000,-76.16731760000,12/16/2016
El Sitio,hamlet,nodes,20.71064600000,-76.18541660000,12/16/2016
C.P.A Jos?? A. Echeverr?¡a,hamlet,nodes,20.74358630000,-76.22290870000,12/16/2016
Los Aites,hamlet,nodes,20.75414430000,-76.19972770000,12/16/2016
Rey Dos,hamlet,nodes,20.62752930000,-76.16257540000,12/16/2016
San Bartolo,hamlet,nodes,20.67124990000,-76.20543150000,12/16/2016
Cruce San Francisco,hamlet,nodes,20.69630480000,-76.18707160000,12/16/2016
La Represa de Camaz?ín,hamlet,nodes,20.72621130000,-76.14651640000,12/16/2016
La Berta,hamlet,nodes,20.73288210000,-76.21096550000,12/16/2016
Pozo Redondo,hamlet,nodes,20.60776420000,-76.57405680000,12/16/2016
Cautillo,hamlet,nodes,20.53019090000,-76.56577190000,12/16/2016
,hamlet,nodes,20.52241750000,-76.55913410000,12/16/2016
La Monter?¡a,hamlet,nodes,20.82099330000,-76.48875200000,12/16/2016
Altagracia 1,hamlet,nodes,20.64946480000,-76.54509330000,12/16/2016
Las Mar?¡as,hamlet,nodes,20.66395440000,-76.61679440000,12/16/2016
Altagracia 2,hamlet,nodes,20.65021010000,-76.55717060000,12/16/2016
Limoncito,hamlet,nodes,20.63777480000,-76.50013260000,12/16/2016
Los Haticos,hamlet,nodes,20.56590760000,-76.54380440000,12/16/2016
Juan Hern?índez,hamlet,nodes,20.56388100000,-76.49018300000,12/16/2016
Teresa,hamlet,nodes,20.82191910000,-76.28107860000,12/16/2016
Los Oasis,hamlet,nodes,20.35595640000,-75.28439580000,12/16/2016
La Indiana,hamlet,nodes,20.35240060000,-75.29784710000,12/16/2016
,hamlet,nodes,20.35996480000,-75.29515410000,12/16/2016
Cupeyal,hamlet,nodes,20.31938760000,-75.32887850000,12/16/2016
El Toro,hamlet,nodes,20.32758490000,-75.31859320000,12/16/2016
Yambeque,hamlet,nodes,20.32361900000,-75.29281120000,12/16/2016
Banito 4,hamlet,nodes,20.25182660000,-75.31187810000,12/16/2016
La Palizada,hamlet,nodes,20.29270620000,-75.35433300000,12/16/2016
Lechero Abajo,hamlet,nodes,20.27892770000,-75.44028510000,12/16/2016
La Ay??a,hamlet,nodes,20.29906390000,-75.45085240000,12/16/2016
El Guiral Abajo,hamlet,nodes,20.31291600000,-75.40318250000,12/16/2016
Belona,hamlet,nodes,20.18278410000,-75.46006270000,12/16/2016
El Car??,hamlet,nodes,20.20561640000,-75.33134570000,12/16/2016
,hamlet,nodes,20.23435460000,-75.31405340000,12/16/2016
Marianal,hamlet,nodes,20.22750680000,-75.31542050000,12/16/2016
Chapalita,hamlet,nodes,20.23274860000,-75.30266690000,12/16/2016
San Jos?? de Lajas,hamlet,nodes,20.23984270000,-75.27004060000,12/16/2016
Perseverancia,hamlet,nodes,20.21758590000,-75.26112980000,12/16/2016
Jobito,hamlet,nodes,20.19687220000,-75.27029520000,12/16/2016
Comunidad Palma San Juan,hamlet,nodes,20.15252510000,-75.26051770000,12/16/2016
Santa Rita,hamlet,nodes,20.18964710000,-75.40794560000,12/16/2016
Ojo de Agua,hamlet,nodes,20.18083970000,-75.43891790000,12/16/2016
Limoncito Abajo,hamlet,nodes,20.31830970000,-75.36336130000,12/16/2016
Olimpo,hamlet,nodes,20.34386750000,-75.31125250000,12/16/2016
La Colonia,hamlet,nodes,20.33604590000,-75.33234000000,12/16/2016
Limones 16,hamlet,nodes,20.19773650000,-75.35486380000,12/16/2016
La Soledad,hamlet,nodes,20.01656880000,-75.71982150000,12/16/2016
Oca??a,hamlet,nodes,20.01273910000,-75.69943480000,12/16/2016
El Triunfo,hamlet,nodes,20.01457720000,-75.70899970000,12/16/2016
Trucut??,hamlet,nodes,20.01027200000,-75.50821870000,12/16/2016
Campo Rico,hamlet,nodes,20.02327460000,-75.52375740000,12/16/2016
Ram?¡rez,hamlet,nodes,20.87745690000,-76.72784030000,12/16/2016
Los Conucos,hamlet,nodes,20.88827850000,-76.71078060000,12/16/2016
Ca??ada Honda,hamlet,nodes,20.88671190000,-76.69276020000,12/16/2016
,hamlet,nodes,20.88311470000,-76.82822520000,12/16/2016
,hamlet,nodes,20.88827840000,-76.80533850000,12/16/2016
La Clarita,hamlet,nodes,20.10982030000,-76.00494150000,12/16/2016
,hamlet,nodes,20.13540860000,-75.95888530000,12/16/2016
Arroyo de Agua,hamlet,nodes,20.14034390000,-75.78776840000,12/16/2016
Palmira,hamlet,nodes,20.11804620000,-75.79527200000,12/16/2016
El Ca????n,hamlet,nodes,20.10700290000,-75.79393700000,12/16/2016
El Escandel,hamlet,nodes,20.06360660000,-75.75342490000,12/16/2016
Los Mara??ones,hamlet,nodes,20.06818430000,-75.76146260000,12/16/2016
Las Lajas,hamlet,nodes,20.06563740000,-75.77716810000,12/16/2016
La Batea,hamlet,nodes,20.07093360000,-75.76758810000,12/16/2016
Prosperidad,hamlet,nodes,20.08846530000,-75.78872110000,12/16/2016
,hamlet,nodes,20.09183900000,-75.82206310000,12/16/2016
San Miguel,hamlet,nodes,20.09698340000,-75.84066780000,12/16/2016
,hamlet,nodes,20.10092680000,-75.81856980000,12/16/2016
Guineo Morado,hamlet,nodes,20.12246100000,-75.83680560000,12/16/2016
La Luz,hamlet,nodes,20.13684980000,-75.84635160000,12/16/2016
Veguitas,hamlet,nodes,20.14589430000,-75.81929670000,12/16/2016
El Triunfo,hamlet,nodes,20.25402420000,-75.66205860000,12/16/2016
,hamlet,nodes,20.23208000000,-75.67902090000,12/16/2016
Manacal de California,hamlet,nodes,20.22493240000,-75.64156650000,12/16/2016
,hamlet,nodes,20.21915360000,-75.63677070000,12/16/2016
Corral??n,hamlet,nodes,20.20505820000,-75.65040710000,12/16/2016
California Centro,hamlet,nodes,20.24191500000,-75.63989280000,12/16/2016
La Victoria,hamlet,nodes,20.24732050000,-75.68174600000,12/16/2016
California Arriba,hamlet,nodes,20.23412360000,-75.63975870000,12/16/2016
Los Cotuntos,hamlet,nodes,20.23184340000,-75.66682220000,12/16/2016
,hamlet,nodes,20.02197690000,-75.75610050000,12/16/2016
Santa Mar?¡a del Loreto,hamlet,nodes,20.07619480000,-75.55521530000,12/16/2016
La Juba,hamlet,nodes,20.07009530000,-75.52395920000,12/16/2016
Nueva Isabel,hamlet,nodes,20.08298170000,-75.59758510000,12/16/2016
Alto de Villal??n,hamlet,nodes,20.06945830000,-75.71368050000,12/16/2016
,hamlet,nodes,20.15083940000,-75.78924900000,12/16/2016
Falc??n,hamlet,nodes,22.78691420000,-82.45660900000,12/16/2016
Capote,hamlet,nodes,22.76617020000,-82.45364790000,12/16/2016
Lombillo,hamlet,nodes,22.97793430000,-82.47673740000,12/16/2016
El Cafetal,hamlet,nodes,22.97244320000,-82.53776240000,12/16/2016
,hamlet,nodes,22.99029870000,-82.53256920000,12/16/2016
El Cebadero,hamlet,nodes,22.97526200000,-82.48103880000,12/16/2016
Antonio Maceo,hamlet,nodes,22.95953110000,-82.47980480000,12/16/2016
Campamento Lazarita,hamlet,nodes,22.92257980000,-82.46633470000,12/16/2016
San Paul,hamlet,nodes,22.93313620000,-82.45711220000,12/16/2016
Juan Manuel Marquez,hamlet,nodes,22.92684100000,-82.48441310000,12/16/2016
Pe??a,hamlet,nodes,22.91611260000,-82.49333910000,12/16/2016
Ojo de Agua,hamlet,nodes,22.90770610000,-82.48135540000,12/16/2016
El Candado,hamlet,nodes,22.90626030000,-82.47759920000,12/16/2016
Encrucijada,hamlet,nodes,22.91172850000,-82.46908780000,12/16/2016
CPA Antero Regalado,hamlet,nodes,22.91137130000,-82.45829420000,12/16/2016
El Mac?¡o,hamlet,nodes,20.80724870000,-76.20684620000,12/16/2016
La Aguada,hamlet,nodes,20.79469400000,-76.20928290000,12/16/2016
Mirador de Mayabe,hamlet,nodes,20.83751750000,-76.20037820000,12/16/2016
La Cuaba,hamlet,nodes,20.82895940000,-76.20162830000,12/16/2016
La Barrigona,hamlet,nodes,20.81816460000,-76.19782630000,12/16/2016
Dos Hermanas,hamlet,nodes,20.82250440000,-76.21083860000,12/16/2016
Ca??ad??n,hamlet,nodes,20.81772380000,-76.23189310000,12/16/2016
Cuba S?¡,hamlet,nodes,20.82772490000,-76.24620040000,12/16/2016
Yayal Loma,hamlet,nodes,20.84329630000,-76.24761160000,12/16/2016
Los Gonz?ílez,hamlet,nodes,20.84415360000,-76.20520590000,12/16/2016
La Presa,hamlet,nodes,20.85841580000,-76.20627880000,12/16/2016
Sumidero,hamlet,nodes,20.34621580000,-75.66452210000,12/16/2016
El Iris,hamlet,nodes,20.36791000000,-75.66393410000,12/16/2016
Joturo,hamlet,nodes,20.32059280000,-75.63559060000,12/16/2016
Bola??o,hamlet,nodes,20.28164820000,-75.62139840000,12/16/2016
Corinto,hamlet,nodes,20.37380000000,-75.62745550000,12/16/2016
Tres Palmas,hamlet,nodes,20.51001630000,-75.27468930000,12/16/2016
Los Granadillos,hamlet,nodes,20.50958730000,-75.28013170000,12/16/2016
El Car??,hamlet,nodes,20.53862840000,-75.26681480000,12/16/2016
Entrada de Guag??i,hamlet,nodes,20.54927240000,-75.25433420000,12/16/2016
La Cueva,hamlet,nodes,20.56896250000,-75.29469250000,12/16/2016
Baz?ín Cuatro,hamlet,nodes,20.60649830000,-75.25646550000,12/16/2016
M?¡cara,hamlet,nodes,20.62120280000,-75.26036400000,12/16/2016
R?¡o Fr?¡o,hamlet,nodes,20.60529370000,-75.32936300000,12/16/2016
El Culebro,hamlet,nodes,20.59049360000,-75.43716870000,12/16/2016
El Jobo,hamlet,nodes,20.64248170000,-75.43953200000,12/16/2016
Los Corrales,hamlet,nodes,20.63451840000,-75.39143740000,12/16/2016
La Ay??a,hamlet,nodes,20.65084740000,-75.39736510000,12/16/2016
El Quemado,hamlet,nodes,20.66934050000,-75.43334230000,12/16/2016
T??neme,hamlet,nodes,20.68173810000,-75.42180310000,12/16/2016
Cabonico,hamlet,nodes,20.66547510000,-75.46639110000,12/16/2016
Canal Tres,hamlet,nodes,20.69553060000,-75.27736870000,12/16/2016
Collazo,hamlet,nodes,20.65675950000,-75.33574110000,12/16/2016
Vidalina,hamlet,nodes,20.64138480000,-75.29305980000,12/16/2016
Cojetal,hamlet,nodes,20.65116920000,-75.27028930000,12/16/2016
Quemadito,hamlet,nodes,20.64838640000,-75.26012940000,12/16/2016
La Piedra,hamlet,nodes,20.56988140000,-75.24659130000,12/16/2016
La Canoa,hamlet,nodes,20.51388330000,-75.24597970000,12/16/2016
Centeno Los Pinos,hamlet,nodes,20.64363260000,-74.98220460000,12/16/2016
Centeno centro,hamlet,nodes,20.64174490000,-75.00372520000,12/16/2016
,hamlet,nodes,20.74049250000,-75.99207760000,12/16/2016
,hamlet,nodes,20.71346970000,-75.99926590000,12/16/2016
Guirabito,hamlet,nodes,20.83616870000,-76.26391840000,12/16/2016
Ferrando,hamlet,nodes,20.53992740000,-76.00236550000,12/16/2016
Paran?í,hamlet,nodes,20.56107630000,-76.04429820000,12/16/2016
Paran?í 5,hamlet,nodes,20.55810190000,-76.07349800000,12/16/2016
Indio Uno,hamlet,nodes,20.53866530000,-76.08812770000,12/16/2016
Entronque de Caballer?¡a,hamlet,nodes,20.60829030000,-75.98019100000,12/16/2016
Saito,hamlet,nodes,20.58842000000,-75.99705150000,12/16/2016
La yuita,hamlet,nodes,20.56375190000,-75.09891030000,12/16/2016
Madre Vieja,hamlet,nodes,20.46556810000,-75.24413190000,12/16/2016
Top?¡ Centro,hamlet,nodes,20.45334160000,-75.23676540000,12/16/2016
Santa Catalina,hamlet,nodes,20.41906030000,-75.17723730000,12/16/2016
,hamlet,nodes,20.40155270000,-75.04686890000,12/16/2016
La Jaiba,hamlet,nodes,20.37740240000,-75.01323170000,12/16/2016
,hamlet,nodes,20.35767270000,-75.12237510000,12/16/2016
,hamlet,nodes,20.34908230000,-75.11608800000,12/16/2016
La perla,hamlet,nodes,20.31933340000,-75.03556980000,12/16/2016
,hamlet,nodes,20.32768570000,-75.14356620000,12/16/2016
,hamlet,nodes,20.38266530000,-75.26863250000,12/16/2016
El Aguacate,hamlet,nodes,20.39415000000,-75.26440530000,12/16/2016
La Veguita,hamlet,nodes,20.42731780000,-75.25554000000,12/16/2016
Cupeyes,hamlet,nodes,20.45464930000,-75.26569250000,12/16/2016
El Carmen,hamlet,nodes,20.48854320000,-75.26589610000,12/16/2016
El Mijial,hamlet,nodes,20.49102060000,-75.25247070000,12/16/2016
El Gu?írano,hamlet,nodes,20.49633270000,-75.27311270000,12/16/2016
Rinconcito,hamlet,nodes,20.41977470000,-75.12331450000,12/16/2016
San Mateo,hamlet,nodes,20.43967700000,-75.14833250000,12/16/2016
Guajaca Tres,hamlet,nodes,20.69397800000,-75.19259130000,12/16/2016
Camaronera,hamlet,nodes,20.70474540000,-75.22517340000,12/16/2016
Mej?¡as,hamlet,nodes,20.71712130000,-75.23557110000,12/16/2016
Yaguaneque,hamlet,nodes,20.65382940000,-75.06955020000,12/16/2016
Melena Arriba,hamlet,nodes,20.63644890000,-75.11085520000,12/16/2016
Centeno Nuevo,hamlet,nodes,20.62849550000,-75.01043140000,12/16/2016
San Pedro,hamlet,nodes,20.59696460000,-75.10923110000,12/16/2016
Corcovado,hamlet,nodes,20.62934730000,-75.67369120000,12/16/2016
Guayabo,hamlet,nodes,20.63023390000,-75.68850520000,12/16/2016
Monte Verde,hamlet,nodes,20.62673970000,-75.70350410000,12/16/2016
Juan Vicente 5,hamlet,nodes,20.63331330000,-75.72115770000,12/16/2016
Platanillo,hamlet,nodes,20.67263080000,-75.73522610000,12/16/2016
Playa Juan Vicente,hamlet,nodes,20.69090940000,-75.72120430000,12/16/2016
Serones 1,hamlet,nodes,20.67339090000,-75.75693630000,12/16/2016
Blanquizal,hamlet,nodes,20.61229480000,-75.70737760000,12/16/2016
Colorado,hamlet,nodes,20.62232150000,-75.69994210000,12/16/2016
Guairajal,hamlet,nodes,20.60849010000,-75.69182450000,12/16/2016
Arroyo en medio,hamlet,nodes,20.61336070000,-75.68174890000,12/16/2016
Cuatro Caminos,hamlet,nodes,20.70288360000,-75.59405000000,12/16/2016
Mateo S?ínchez,hamlet,nodes,20.67062970000,-75.65798710000,12/16/2016
Playa Manteca,hamlet,nodes,20.69486310000,-75.69772130000,12/16/2016
Guanina N????ez,hamlet,nodes,20.69927780000,-75.67399770000,12/16/2016
,hamlet,nodes,20.69017620000,-75.66914000000,12/16/2016
,hamlet,nodes,20.71256730000,-75.65830250000,12/16/2016
Guanina,hamlet,nodes,20.71779380000,-75.67295410000,12/16/2016
Providencia,hamlet,nodes,20.80745430000,-76.29033470000,12/16/2016
Embarcadero de Banes,hamlet,nodes,20.92128600000,-75.70265350000,12/16/2016
Torrenterita,hamlet,nodes,20.92381670000,-75.73054880000,12/16/2016
Curva de los Jamaiquinos,hamlet,nodes,20.94904620000,-75.73645160000,12/16/2016
Veguitas (Puente),hamlet,nodes,20.96464560000,-75.74870470000,12/16/2016
Banes,city,nodes,20.96179150000,-75.72289400000,12/16/2016
Lajitas,hamlet,nodes,20.94108510000,-75.67769160000,12/16/2016
El Hogar,hamlet,nodes,20.97420720000,-75.74677640000,12/16/2016
Jucaral,hamlet,nodes,20.98910580000,-75.77072810000,12/16/2016
Berrillo,hamlet,nodes,20.98907650000,-75.76589880000,12/16/2016
Veguita Nueve,hamlet,nodes,20.98607890000,-75.76895830000,12/16/2016
Pozo Blanco,hamlet,nodes,20.98616760000,-75.79942460000,12/16/2016
Veguita Ocho,hamlet,nodes,20.96672860000,-75.75480940000,12/16/2016
Tasajeras,hamlet,nodes,20.95366480000,-75.77612760000,12/16/2016
,hamlet,nodes,20.95356200000,-75.81019200000,12/16/2016
Los Berros,hamlet,nodes,20.95874260000,-75.81952720000,12/16/2016
Sa?¡to de Flores,hamlet,nodes,20.94800250000,-75.82458580000,12/16/2016
,hamlet,nodes,20.93713350000,-75.87917340000,12/16/2016
,hamlet,nodes,20.91351420000,-75.86908780000,12/16/2016
El Mono de Cortaderas,hamlet,nodes,20.91212770000,-75.83456310000,12/16/2016
Cano Doce,hamlet,nodes,20.92286250000,-75.67505530000,12/16/2016
Santa Rosa Los Rodr?¡guez,hamlet,nodes,20.92087800000,-75.99056490000,12/16/2016
Entrada de Sao Arriba,hamlet,nodes,20.91354200000,-76.20853190000,12/16/2016
Jicotea,hamlet,nodes,20.96956170000,-76.03122990000,12/16/2016
Los Cocos,hamlet,nodes,21.01281320000,-76.03512060000,12/16/2016
Los Mineros,hamlet,nodes,21.01170560000,-76.00356820000,12/16/2016
La Viuda,hamlet,nodes,21.01328680000,-76.02188420000,12/16/2016
La Vega de Junuc??n,hamlet,nodes,21.02825970000,-76.03026630000,12/16/2016
Juan Cantares,hamlet,nodes,21.03836670000,-76.02557880000,12/16/2016
Arroyo de Agua,hamlet,nodes,20.93132700000,-75.96305390000,12/16/2016
,hamlet,nodes,20.95371090000,-75.91017470000,12/16/2016
